Source,Target,Type,Id,Label,timeset,Weight
12,25,Undirected,1916,,"<[2020.0, 2025.0]>",1
12,26,Undirected,1917,,"<[2020.0, 2025.0]>",1
12,27,Undirected,1918,,"<[2020.0, 2025.0]>",1
12,28,Undirected,1919,,"<[2020.0, 2025.0]>",1
12,29,Undirected,1920,,"<[2020.0, 2025.0]>",1
12,32,Undirected,1921,,"<[2020.0, 2025.0]>",1
12,33,Undirected,1922,,"<[2020.0, 2025.0]>",1
12,34,Undirected,1923,,"<[2020.0, 2025.0]>",1
12,35,Undirected,1924,,"<[2020.0, 2025.0]>",1
12,39,Undirected,1925,,"<[2020.0, 2025.0]>",1
12,41,Undirected,1926,,"<[2020.0, 2025.0]>",1
12,46,Undirected,1927,,"<[2020.0, 2025.0]>",1
12,42,Undirected,1928,,"<[2020.0, 2025.0]>",1
13,17,Undirected,1929,,"<[2020.0, 2025.0]>",1
13,18,Undirected,1930,,"<[2020.0, 2025.0]>",1
13,25,Undirected,1931,,"<[2020.0, 2025.0]>",1
13,27,Undirected,1932,,"<[2020.0, 2025.0]>",1
13,28,Undirected,1933,,"<[2020.0, 2025.0]>",1
13,29,Undirected,1934,,"<[2020.0, 2025.0]>",1
13,41,Undirected,1935,,"<[2020.0, 2025.0]>",1
13,42,Undirected,1936,,"<[2020.0, 2025.0]>",1
14,15,Undirected,1937,,"<[2020.0, 2025.0]>",1
14,17,Undirected,1938,,"<[2020.0, 2025.0]>",1
14,19,Undirected,1939,,"<[2020.0, 2025.0]>",1
14,22,Undirected,1940,,"<[2020.0, 2025.0]>",1
14,26,Undirected,1941,,"<[2020.0, 2025.0]>",1
14,29,Undirected,1942,,"<[2020.0, 2025.0]>",1
14,33,Undirected,1943,,"<[2020.0, 2025.0]>",1
14,34,Undirected,1944,,"<[2020.0, 2025.0]>",1
14,35,Undirected,1945,,"<[2020.0, 2025.0]>",1
14,39,Undirected,1946,,"<[2020.0, 2025.0]>",1
14,41,Undirected,1947,,"<[2020.0, 2025.0]>",1
14,46,Undirected,1948,,"<[2020.0, 2025.0]>",1
15,17,Undirected,1950,,"<[2020.0, 2025.0]>",1
15,19,Undirected,1951,,"<[2020.0, 2025.0]>",1
15,22,Undirected,1952,,"<[2020.0, 2025.0]>",1
15,26,Undirected,1953,,"<[2020.0, 2025.0]>",1
15,29,Undirected,1954,,"<[2020.0, 2025.0]>",1
15,33,Undirected,1955,,"<[2020.0, 2025.0]>",1
15,34,Undirected,1956,,"<[2020.0, 2025.0]>",1
15,35,Undirected,1957,,"<[2020.0, 2025.0]>",1
15,39,Undirected,1958,,"<[2020.0, 2025.0]>",1
15,41,Undirected,1959,,"<[2020.0, 2025.0]>",1
16,38,Undirected,1964,,"<[2020.0, 2025.0]>",1
17,19,Undirected,1967,,"<[2020.0, 2025.0]>",1
17,20,Undirected,1968,,"<[2020.0, 2025.0]>",1
17,23,Undirected,1970,,"<[2020.0, 2025.0]>",1
17,26,Undirected,1972,,"<[2020.0, 2025.0]>",1
17,29,Undirected,1975,,"<[2020.0, 2025.0]>",1
17,34,Undirected,1977,,"<[2020.0, 2025.0]>",1
17,35,Undirected,1978,,"<[2020.0, 2025.0]>",1
17,39,Undirected,1979,,"<[2020.0, 2025.0]>",1
18,25,Undirected,1984,,"<[2020.0, 2025.0]>",1
18,27,Undirected,1985,,"<[2020.0, 2025.0]>",1
18,29,Undirected,1987,,"<[2020.0, 2025.0]>",1
18,32,Undirected,1988,,"<[2020.0, 2025.0]>",1
19,22,Undirected,1991,,"<[2020.0, 2025.0]>",1
19,25,Undirected,1992,,"<[2020.0, 2025.0]>",1
19,26,Undirected,1993,,"<[2020.0, 2025.0]>",1
19,29,Undirected,1994,,"<[2020.0, 2025.0]>",1
19,33,Undirected,1995,,"<[2020.0, 2025.0]>",1
19,34,Undirected,1996,,"<[2020.0, 2025.0]>",1
19,35,Undirected,1997,,"<[2020.0, 2025.0]>",1
19,39,Undirected,1998,,"<[2020.0, 2025.0]>",1
19,41,Undirected,1999,,"<[2020.0, 2025.0]>",1
19,46,Undirected,2000,,"<[2020.0, 2025.0]>",1
19,42,Undirected,2001,,"<[2020.0, 2025.0]>",1
20,27,Undirected,2003,,"<[2020.0, 2025.0]>",1
20,28,Undirected,2004,,"<[2020.0, 2025.0]>",1
20,33,Undirected,2005,,"<[2020.0, 2025.0]>",1
20,36,Undirected,2006,,"<[2020.0, 2025.0]>",1
20,43,Undirected,2009,,"<[2020.0, 2025.0]>",1
20,45,Undirected,2010,,"<[2020.0, 2025.0]>",1
22,24,Undirected,2011,,"<[2020.0, 2025.0]>",1
22,26,Undirected,2012,,"<[2020.0, 2025.0]>",1
22,29,Undirected,2014,,"<[2020.0, 2025.0]>",1
